codigo_ocorrencia,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_classificacao
201305055424986,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.9085,-63.0333,ARIQUEMES,RO,BRASIL,SJOG,2013-05-05,11:00:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201605160250139,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-11.2644,-61.2589,CACOAL,RO,BRASIL,SSKW,2016-05-13,19:19:00,SIM,ATIVA,IG-084/CENIPA/2016,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201805021421302,AERÓDROMO,AERÓDROMO,ADRM,-11.4956,-61.4508,CACOAL,RO,BRASIL,SSKW,2018-03-09,22:40:00,SIM,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
201311259977425,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-11.4956,-61.4508,CACOAL,RO,BRASIL,SSKW,2013-11-25,12:32:00,,FINALIZADA,IG-209/CENIPA/2013,SIM,2014-04-07,0,1,NÃO,2018-08-28,INCIDENTE
201103187273112,OUTROS,OUTROS,OTHR,-13195,-60.8184,CEREJEIRAS,RO,BRASIL,****,2011-03-18,13:30:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,INCIDENTE
200808073991179,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-9.1194,-68.5978,CEREJEIRAS,RO,BRASIL,****,2008-08-07,15:10:00,,FINALIZADA,A - 517/CENIPA/2016,SIM,2016-07-07,0,1,SIM,2018-08-28,ACIDENTE
201108118145873,POUSO LONGO,EXCURSÃO DE PISTA,RE,3.7119,-64.1625,AMAJARI,RR,BRASIL,****,2011-08-11,17:00:00,,FINALIZADA,A-105/CENIPA/2012,SIM,2012-09-20,4,1,NÃO,2018-08-28,ACIDENTE
201604251335501,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,3.5544,-61.8694,AMAJARI,RR,BRASIL,****,2016-02-24,05:48:00,SIM,ATIVA,IG-069/CENIPA/2016,NÃO,,0,2,NÃO,2018-08-28,INCIDENTE
201604062021424,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,3.7633,-62.4094,AMAJARI,RR,BRASIL,SWAQ,2016-04-05,16:05:00,SIM,FINALIZADA,A-063/CENIPA/2016,SIM,2017-06-22,2,1,SIM,2018-08-28,ACIDENTE
200902274965349,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,3.6521,-61.4206,AMAJARI,RR,BRASIL,****,2009-02-27,16:30:00,,FINALIZADA,***,NÃO,,0,1,SIM,2018-08-28,INCIDENTE
200912289948837,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-31.6261,-54.2125,ACEGUÁ,RS,BRASIL,****,2009-12-28,17:30:00,,ATIVA,A-512/CENIPA/2018,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
201211159478138,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-16.7588,-49.4405,ABADIA DE GOIÁS,GO,BRASIL,****,2012-11-15,12:40:00,,FINALIZADA,***,NÃO,,0,1,NÃO,2018-08-28,ACIDENTE
